id,title,author,genre
cf_1,El hombre bicentenario,Isaac Asimov,Ciencia ficción
ne_1,Lobo de mar,Jack London,Narrativa extranjera
np_1,El legado de los huesos,Dolores Redondo,Narrativa policíaca
dc_1,El error de Descartes,Antonio Damasio,Divulgación científica
dc_2,El ingenio de los pájaros,Jennifer Ackerman,Divulgación científica
ne_1,El corazón de las tinieblas,Joseph Conrad,Narrativa extranjera
dc_5,Metro 2033,Dmitri Glujovski,Divulgación científica
dc_5,Sidharta,Hermann Hesse,Narrativa extranjera
el_1,Andres Trapiello,Las armas y las letras,Narrativa extranjera
TEST 3,TEST 3,Divulgación científica,dc_12
TITULO A TRAVËS update_book(),TEST 2,Autoayuda,aa_11
